=====================================================================================================================================================================
Beale optimizer                                       cost      time [us]       |grad|/|fval|    #fails    #iters         #fcalls         #gcalls         speed      
cgd-ls[init-quadratic][backtrack-Armijo]              2288      280.959341      0.000000         0         540.787912     762.861538      762.861538      0.940609   
cgd-ls[init-unit][backtrack-Armijo]                   2291      126.455026      0.000000         0         136.052910     763.983069      763.983069      0.713329   
cgd-cd[init-unit][interp]                             2420      423.101751      0.000000         0         198.214442     806.844639      806.844639      0.738787   
cgd-prp[init-unit][backtrack-Wolfe]                   2940      166.448349      0.000000         0         172.894569     980.071353      980.071353      0.788933   
cgd-prp[init-unit][backtrack-Armijo]                  3026      167.913228      0.000000         0         185.238095     1008.853968     1008.853968     0.793787   
gd[init-quadratic][interp]                            3825      684.768053      0.000000         0         911.784464     1275.310722     1275.310722     0.903656   
cgd-n[init-unit][backtrack-Wolfe]                     4070      234.422105      0.000000         0         229.518947     1356.907368     1356.907368     0.836043   
cgd-fr[init-quadratic][cgdescent]                     5070      1221.130197     0.000000         0         443.448578     1690.146608     1690.146608     0.741446   
cgd-dy[init-quadratic][cgdescent]                     5080      1237.794311     0.000000         0         467.077681     1693.459519     1693.459519     0.747713   
gd[init-quadratic][backtrack-Wolfe]                   5202      494.948746      0.000000         0         976.247546     1734.152672     1734.152672     0.963953   
cgd-fr[init-unit][backtrack-Wolfe]                    5236      295.508547      0.000000         0         262.508547     1745.384615     1745.384615     0.823918   
cgd-fr[init-unit][cgdescent]                          5739      1468.773523     0.000000         0         477.072210     1913.331510     1913.331510     0.716621   
cgd-ls[init-consistent][backtrack-Wolfe]              5930      252.137705      0.000000         0         64.792350      1976.686339     1976.686339     0.714266   
cgd-dyhs[init-consistent][cgdescent]                  5948      1525.538293     0.000000         0         85.528446      1982.842451     1982.842451     0.666346   
cgd-n[init-unit][backtrack-Armijo]                    6007      326.251836      0.000000         0         280.254984     2002.464848     2002.464848     0.836070   
cgd-fr[init-unit][backtrack-Armijo]                   6063      318.818085      0.000000         0         278.140426     2021.261702     2021.261702     0.837478   
gd[init-quadratic][backtrack-Armijo]                  6139      809.056044      0.000000         0         1959.509890    2046.449451     2046.449451     0.984388   
gd[init-quadratic][cgdescent]                         6182      1493.661555     0.000000         0         578.430449     2060.808324     2060.808324     0.900354   
cgd-dy[init-unit][cgdescent]                          6412      1590.173961     0.000000         0         532.921225     2137.519694     2137.519694     0.745276   
cgd-dyhs[init-consistent][backtrack-Wolfe]            6710      289.200000      0.000000         0         72.131148      2236.985792     2236.985792     0.734207   
cgd-dycd[init-unit][backtrack-Armijo]                 6745      314.771645      0.000000         0         262.784632     2248.662338     2248.662338     0.760394   
cgd-dy[init-unit][backtrack-Armijo]                   6941      338.185745      0.000000         0         271.651188     2313.914687     2313.914687     0.778004   
cgd-dyhs[init-consistent][backtrack-Armijo]           7246      412.998899      0.000000         0         310.756608     2415.592511     2415.592511     0.910155   
cgd-dycd[init-consistent][cgdescent]                  7288      1802.979212     0.000000         0         107.871991     2429.400438     2429.400438     0.742079   
cgd-cd[init-consistent][cgdescent]                    7288      1808.890591     0.000000         0         107.871991     2429.400438     2429.400438     0.742079   
gd[init-unit][interp]                                 7436      1303.424508     0.000000         0         811.973742     2478.763676     2478.763676     0.893472   
cgd-dyhs[init-consistent][interp]                     7795      1223.344639     0.000000         0         83.425602      2598.411379     2598.411379     0.639803   
cgd-fr[init-unit][interp]                             7918      1197.946389     0.000000         0         392.292123     2639.390591     2639.390591     0.727220   
gd[init-unit][cgdescent]                              8477      1994.677243     0.000000         0         735.962801     2825.893873     2825.893873     0.899159   
cgd-dy[init-unit][interp]                             8690      1358.117068     0.000000         0         424.312910     2896.984683     2896.984683     0.730261   
cgd-dy[init-unit][backtrack-Wolfe]                    8708      396.319610      0.000000         0         349.067172     2902.697725     2902.697725     0.782643   
cgd-dycd[init-consistent][interp]                     9335      1444.850109     0.000000         0         101.248359     3111.721007     3111.721007     0.720581   
cgd-cd[init-consistent][interp]                       10126     1635.261488     0.000000         0         113.882932     3375.637856     3375.637856     0.723782   
cgd-dycd[init-unit][backtrack-Wolfe]                  11876     560.983749      0.000000         0         420.777898     3958.670639     3958.670639     0.771216   
cgd-n[init-consistent][backtrack-Wolfe]               14128     561.245077      0.000000         0         147.641138     4709.469365     4709.469365     0.854633   
gd[init-consistent][cgdescent]                        14260     3683.627601     0.000000         0         365.953998     4753.460022     4753.460022     0.854252   
cgd-fr[init-consistent][interp]                       16039     2435.619256     0.000000         0         165.876368     5346.429978     5346.429978     0.700793   
cgd-n[init-consistent][backtrack-Armijo]              16301     757.002198      0.000000         0         398.535165     5433.882418     5433.882418     0.931759   
cgd-dy[init-consistent][interp]                       16819     2555.133479     0.000000         0         172.982495     5606.532823     5606.532823     0.713819   
cgd-dy[init-consistent][backtrack-Armijo]             18745     861.940789      0.000000         0         400.334430     6248.494518     6248.494518     0.926340   
cgd-dycd[init-consistent][backtrack-Armijo]           19128     874.884361      0.000000         0         403.865639     6376.298458     6376.298458     0.927214   
cgd-fr[init-consistent][backtrack-Wolfe]              19803     803.455240      0.000000         0         190.394105     6601.259825     6601.259825     0.844612   
cgd-dycd[init-consistent][backtrack-Wolfe]            24621     1030.622951     0.000000         0         229.010929     8207.186885     8207.186885     0.816613   
cgd-dy[init-consistent][backtrack-Wolfe]              26328     998.596721      0.000000         0         246.866667     8776.051366     8776.051366     0.818975   
cgd-fr[init-consistent][backtrack-Armijo]             26383     1157.989023     0.000000         0         514.745335     8794.604830     8794.604830     0.939679   
cgd-fr[init-consistent][cgdescent]                    30080     7143.076586     0.000000         0         406.079869     10026.789934    10026.789934    0.715210   
cgd-dy[init-consistent][cgdescent]                    33321     8063.429978     0.000000         0         446.919037     11107.266958    11107.266958    0.741308   
gd[init-unit][backtrack-Wolfe]                        41398     2156.250797     0.000000         0         2349.098831    13799.480340    13799.480340    0.985392   
gd[init-consistent][interp]                           66990     10559.420131    0.000000         0         646.977024     22330.305252    22330.305252    0.905165   
gd[init-unit][backtrack-Armijo]                       67319     3706.274211     0.000000         0         3320.556039    22439.796518    22439.796518    0.986093   
gd[init-consistent][backtrack-Armijo]                 142732    5593.872247     0.000000         0         1525.519824    47577.591410    47577.591410    0.985486   
gd[init-consistent][backtrack-Wolfe]                  145339    6065.843716     0.000000         0         1404.044809    48446.395628    48446.395628    0.984048   
cgd-hs[init-unit][backtrack-Armijo]                   1560      98.150163       0.000000         1         119.260065     520.062024      520.062024      0.689390   
cgd-fr[init-quadratic][backtrack-Armijo]              1887      220.670318      0.000000         1         427.203724     629.143483      629.143483      0.917073   
cgd-ls[init-consistent][backtrack-Armijo]             6626      374.701542      0.000000         1         305.896476     2208.777533     2208.777533     0.909921   
cgd-prp[init-consistent][backtrack-Wolfe]             7900      357.572678      0.000000         1         85.538798      2633.558470     2633.558470     0.774211   
cgd-hs[init-consistent][cgdescent]                    590       192.400438      0.000000         2         12.946389      196.787746      196.787746      0.148321   
cgd-prp[init-quadratic][backtrack-Armijo]             2937      367.012088      0.000000         2         724.070330     979.159341      979.159341      0.958203   
cgd-hs[init-quadratic][backtrack-Wolfe]               786       55.003264       0.000000         3         53.584331      262.088139      262.088139      0.531495   
cgd-prp[init-consistent][backtrack-Armijo]            8519      467.463656      0.000000         3         324.879956     2839.907489     2839.907489     0.918503   
cgd-cd[init-quadratic][interp]                        1238      230.851204      0.008198         11        170.761488     412.984683      412.984683      0.720847   
gd[init-quadratic][backtrack-strong-Wolfe]            8996      441.021209      0.008920         42        388.288441     2998.739130     2998.739130     0.910093   
cgd-ls[init-quadratic][backtrack-strong-Wolfe]        1117      52.537566       0.017418         43        29.675132      372.514286      372.514286      0.249120   
cgd-hs[init-unit][backtrack-Wolfe]                    1163      70.869048       0.000000         45        70.218615      387.925325      387.925325      0.639247   
gd[init-unit][backtrack-strong-Wolfe]                 77536     3296.653361     0.010377         48        1973.879202    25845.405462    25845.405462    0.972329   
cgd-hs[init-quadratic][backtrack-strong-Wolfe]        1138      57.207188       0.014944         49        27.375264      379.346723      379.346723      0.312589   
cgd-prp[init-quadratic][backtrack-strong-Wolfe]       1362      65.236287       0.019210         50        34.150844      454.154008      454.154008      0.379700   
cgd-dyhs[init-quadratic][backtrack-strong-Wolfe]      2883      135.722397      0.015909         50        83.883281      961.216614      961.216614      0.629236   
cgd-dycd[init-quadratic][backtrack-strong-Wolfe]      5207      251.335443      0.028404         50        164.909283     1735.684599     1735.684599     0.811689   
cgd-dyhs[init-unit][backtrack-strong-Wolfe]           3438      159.141807      0.015743         51        98.910714      1146.090336     1146.090336     0.629134   
cgd-hs[init-unit][backtrack-strong-Wolfe]             1205      52.850211       0.017620         52        27.755274      401.724684      401.724684      0.315849   
cgd-prp[init-unit][backtrack-strong-Wolfe]            1404      70.405263       0.015648         52        34.017895      468.043158      468.043158      0.366627   
cgd-ls[init-unit][backtrack-strong-Wolfe]             1250      61.321053       0.017683         54        29.720000      416.948421      416.948421      0.254417   
cgd-n[init-quadratic][backtrack-strong-Wolfe]         1524      72.774125       0.019025         54        38.101803      508.028632      508.028632      0.400763   
cgd-cd[init-quadratic][backtrack-strong-Wolfe]        4611      221.121053      0.035407         55        145.101053     1537.151579     1537.151579     0.789777   
cgd-dycd[init-unit][backtrack-strong-Wolfe]           6138      285.646008      0.027726         55        185.471639     2046.226891     2046.226891     0.821247   
cgd-cd[init-unit][backtrack-strong-Wolfe]             5673      257.840000      0.034737         56        166.866316     1891.100000     1891.100000     0.796226   
cgd-hs[init-consistent][backtrack-Armijo]             4121      264.892377      0.000000         58        289.928251     1373.929372     1373.929372     0.906383   
cgd-hs[init-consistent][backtrack-Wolfe]              3380      148.844978      0.000000         59        39.385371      1126.993450     1126.993450     0.600426   
cgd-dy[init-quadratic][backtrack-strong-Wolfe]        4004      190.266807      0.032631         60        120.316176     1334.703782     1334.703782     0.685418   
cgd-n[init-unit][backtrack-strong-Wolfe]              1583      80.076440       0.028131         61        37.609424      527.750785      527.750785      0.406271   
cgd-fr[init-quadratic][backtrack-strong-Wolfe]        4068      192.331579      0.046578         63        120.871579     1356.051579     1356.051579     0.647628   
cgd-fr[init-unit][backtrack-strong-Wolfe]             5233      237.498952      0.054904         71        122.758910     1744.404612     1744.404612     0.647993   
cgd-dy[init-unit][backtrack-strong-Wolfe]             6719      298.657950      0.068588         79        165.397490     2239.734310     2239.734310     0.734897   
lbfgs[init-unit][backtrack-Armijo]                    57        20.818369       0.154652         148       16.254902      19.185759       19.185759       0.192114   
cgd-hs[init-consistent][backtrack-strong-Wolfe]       1454      66.323467       0.013823         161       16.562368      484.971459      484.971459      0.381987   
cgd-prp[init-consistent][backtrack-strong-Wolfe]      1804      81.949367       0.018352         194       19.924051      601.410338      601.410338      0.455456   
cgd-ls[init-consistent][backtrack-strong-Wolfe]       1537      67.598525       0.017667         201       17.465753      512.341412      512.341412      0.412964   
cgd-n[init-consistent][backtrack-strong-Wolfe]        1959      91.211356       0.019832         220       21.232387      653.161935      653.161935      0.486046   
cgd-hs[init-quadratic][backtrack-Armijo]              16069     2454.491011     0.264660         249       5117.244944    5356.424719     5356.424719     0.965615   
cgd-fr[init-consistent][backtrack-strong-Wolfe]       4828      189.632911      0.041050         284       53.054852      1609.617089     1609.617089     0.678563   
cgd-dyhs[init-consistent][backtrack-strong-Wolfe]     4440      191.169492      0.014149         290       47.907839      1480.259534     1480.259534     0.663926   
lbfgs[init-quadratic][backtrack-Armijo]               69        27.841893       0.310472         297       20.434038      23.218530       23.218530       0.343735   
cgd-dy[init-consistent][backtrack-strong-Wolfe]       5639      236.697699      0.054293         351       60.179916      1879.933054     1879.933054     0.723105   
cgd-cd[init-unit][backtrack-Armijo]                   15346     678.963855      0.308658         411       267.882804     5115.357065     5115.357065     0.943757   
cgd-cd[init-consistent][backtrack-strong-Wolfe]       6504      258.619748      0.046000         439       67.351891      2168.010504     2168.010504     0.777211   
cgd-dycd[init-consistent][backtrack-strong-Wolfe]     7324      279.324552      0.035066         482       74.282403      2441.569020     2441.569020     0.792952   
lbfgs[init-consistent][backtrack-Armijo]              968       153.566567      0.515608         642       87.760761      322.703704      322.703704      0.948292   
gd[init-consistent][backtrack-strong-Wolfe]           27752     1090.850997     0.011066         722       276.457503     9250.974816     9250.974816     0.933022   
cgd-cd[init-quadratic][backtrack-Armijo]              835       94.270669       0.406747         727       190.302165     278.434055      278.434055      0.954319   
cgd-cd[init-unit][backtrack-Wolfe]                    6118      272.593418      0.428131         857       96.514862      2039.518047     2039.518047     0.947464   
cgd-cd[init-quadratic][backtrack-Wolfe]               444       35.331928       0.878198         947       44.404636      148.033720      148.033720      0.964196   
cgd-cd[init-consistent][backtrack-Wolfe]              6294      263.843487      0.390287         951       71.692227      2098.269958     2098.269958     0.945009   
cgd-cd[init-consistent][backtrack-Armijo]             10082     508.071429      0.228370         964       332.057971     3360.779503     3360.779503     0.979773   
=====================================================================================================================================================================
========================================================================================================================================================================
Booth optimizer                                       cost      time [us]       |grad|/|fval|    #fails    #iters          #fcalls          #gcalls          speed      
........................................................................................................................................................................
lbfgs[init-unit][backtrack-Armijo]                    28        9.929688        0.000000         0         7.605469        9.655273         9.655273         0.000252   
lbfgs[init-unit][interp]                              41        11.221680       0.000000         0         7.970703        13.783203        13.783203        0.000431   
cgd-prp[init-unit][interp]                            43        8.757812        0.000000         0         3.293945        14.559570        14.559570        0.000454   
cgd-ls[init-unit][interp]                             43        8.426758        0.000000         0         3.101562        14.521484        14.521484        0.000324   
lbfgs[init-unit][backtrack-strong-Wolfe]              45        10.715820       0.000000         0         7.876953        15.189453        15.189453        0.000257   
lbfgs[init-unit][backtrack-Wolfe]                     45        11.812500       0.000000         0         7.876953        15.189453        15.189453        0.000257   
cgd-n[init-unit][interp]                              45        8.402344        0.000000         0         3.500000        15.309570        15.309570        0.000107   
cgd-prp[init-quadratic][interp]                       46        9.192383        0.000000         0         3.695312        15.438477        15.438477        0.002463   
lbfgs[init-quadratic][interp]                         49        15.835938       0.000000         0         10.789062       16.601562        16.601562        0.001048   
lbfgs[init-quadratic][backtrack-Armijo]               50        20.231445       0.000000         0         14.723633       16.791992        16.791992        0.000577   
cgd-n[init-quadratic][interp]                         50        9.460938        0.000000         0         4.019531        16.759766        16.759766        0.000284   
lbfgs[init-quadratic][backtrack-strong-Wolfe]         52        15.386719       0.000000         0         10.255859       17.579102        17.579102        0.000462   
lbfgs[init-quadratic][backtrack-Wolfe]                52        14.339844       0.000000         0         10.255859       17.579102        17.579102        0.000462   
cgd-dyhs[init-unit][interp]                           61        12.821289       0.000000         0         6.237305        20.532227        20.532227        0.016816   
cgd-dyhs[init-quadratic][interp]                      62        12.017578       0.000000         0         6.270508        20.852539        20.852539        0.014759   
cgd-n[init-unit][cgdescent]                           66        67.808594       0.000000         0         3.011719        22.278320        22.278320        0.001058   
cgd-n[init-quadratic][cgdescent]                      66        65.915039       0.000000         0         3.002930        22.180664        22.180664        0.000995   
cgd-n[init-consistent][cgdescent]                     72        64.493164       0.000000         0         3.140625        24.294922        24.294922        0.001563   
cgd-dycd[init-unit][interp]                           86        18.340820       0.000000         0         10.250977       28.680664        28.680664        0.041129   
cgd-dy[init-unit][interp]                             87        17.329102       0.000000         0         10.497070       29.203125        29.203125        0.043725   
cgd-cd[init-unit][interp]                             87        16.951172       0.000000         0         10.458984       29.112305        29.112305        0.042277   
cgd-ls[init-unit][cgdescent]                          88        67.464844       0.000000         0         4.100586        29.580078        29.580078        0.006300   
cgd-ls[init-consistent][cgdescent]                    88        65.681641       0.000000         0         4.079102        29.392578        29.392578        0.006002   
cgd-dycd[init-quadratic][interp]                      89        17.635742       0.000000         0         10.459961       29.868164        29.868164        0.041694   
cgd-dy[init-quadratic][interp]                        90        18.022461       0.000000         0         10.601562       30.202148        30.202148        0.046866   
cgd-cd[init-quadratic][interp]                        90        17.819336       0.000000         0         10.563477       30.022461        30.022461        0.050064   
lbfgs[init-unit][cgdescent]                           91        68.458984       0.000000         0         10.732422       30.458008        30.458008        0.063584   
cgd-dycd[init-quadratic][cgdescent]                   92        72.992188       0.000000         0         5.498047        30.686523        30.686523        0.037420   
cgd-cd[init-quadratic][cgdescent]                     92        72.407227       0.000000         0         5.498047        30.686523        30.686523        0.037420   
lbfgs[init-quadratic][cgdescent]                      93        66.892578       0.000000         0         11.102539       31.290039        31.290039        0.069078   
cgd-ls[init-quadratic][cgdescent]                     93        71.506836       0.000000         0         4.199219        31.331055        31.331055        0.007288   
cgd-dycd[init-unit][cgdescent]                        93        70.694336       0.000000         0         5.612305        31.061523        31.061523        0.038792   
cgd-cd[init-unit][cgdescent]                          93        71.946289       0.000000         0         5.612305        31.061523        31.061523        0.038792   
cgd-dy[init-quadratic][cgdescent]                     94        68.561523       0.000000         0         5.660156        31.539062        31.539062        0.039825   
cgd-fr[init-unit][interp]                             95        18.856445       0.000000         0         11.696289       31.724609        31.724609        0.059110   
cgd-dy[init-unit][cgdescent]                          96        74.137695       0.000000         0         5.843750        32.206055        32.206055        0.042155   
cgd-fr[init-quadratic][interp]                        97        18.151367       0.000000         0         11.625000       32.387695        32.387695        0.059740   
cgd-fr[init-unit][cgdescent]                          102       75.316406       0.000000         0         6.323242        34.238281        34.238281        0.047841   
cgd-fr[init-quadratic][cgdescent]                     102       73.149414       0.000000         0         6.199219        34.073242        34.073242        0.046561   
cgd-dycd[init-consistent][cgdescent]                  103       70.833984       0.000000         0         6.011719        34.514648        34.514648        0.042472   
cgd-cd[init-consistent][cgdescent]                    103       74.910156       0.000000         0         6.011719        34.514648        34.514648        0.042472   
cgd-dy[init-consistent][cgdescent]                    108       75.639648       0.000000         0         6.344727        36.042969        36.042969        0.046778   
cgd-prp[init-consistent][cgdescent]                   114       73.890625       0.000000         0         5.363281        38.306641        38.306641        0.018957   
cgd-fr[init-consistent][cgdescent]                    116       77.185547       0.000000         0         6.876953        38.750977        38.750977        0.053352   
cgd-prp[init-unit][cgdescent]                         118       78.069336       0.000000         0         5.496094        39.606445        39.606445        0.022022   
cgd-prp[init-quadratic][cgdescent]                    118       72.916992       0.000000         0         5.515625        39.531250        39.531250        0.022307   
lbfgs[init-consistent][cgdescent]                     119       76.674805       0.000000         0         10.444336       39.922852        39.922852        0.061111   
cgd-dyhs[init-consistent][cgdescent]                  127       73.800781       0.000000         0         6.225586        42.543945        42.543945        0.030785   
cgd-dyhs[init-unit][cgdescent]                        130       76.917969       0.000000         0         6.312500        43.619141        43.619141        0.033392   
cgd-dyhs[init-quadratic][cgdescent]                   130       77.134766       0.000000         0         6.369141        43.592773        43.592773        0.033511   
cgd-n[init-consistent][interp]                        132       41.627930       0.000000         0         4.002930        44.313477        44.313477        0.006219   
lbfgs[init-consistent][interp]                        190       55.060547       0.000000         0         17.463867       63.400391        63.400391        0.084753   
cgd-prp[init-consistent][interp]                      201       47.443359       0.000000         0         4.735352        67.244141        67.244141        0.012378   
gd[init-quadratic][interp]                            329       71.600586       0.000000         0         50.713867       109.937500       109.937500       0.292599   
gd[init-unit][interp]                                 337       67.966797       0.000000         0         51.587891       112.345703       112.345703       0.297523   
cgd-hs[init-unit][backtrack-Armijo]                   384       25.725586       0.000000         0         37.171875       128.138672       128.138672       0.159330   
cgd-dycd[init-quadratic][backtrack-Armijo]            408       47.567383       0.000000         0         75.279297       136.251953       136.251953       0.313584   
cgd-dyhs[init-quadratic][backtrack-Armijo]            410       47.875977       0.000000         0         76.250000       136.702148       136.702148       0.309517   
gd[init-quadratic][backtrack-Wolfe]                   415       30.788086       0.000000         0         45.385742       138.528320       138.528320       0.040449   
cgd-dy[init-quadratic][backtrack-Armijo]              420       44.804688       0.000000         0         78.304688       140.187500       140.187500       0.322929   
gd[init-quadratic][backtrack-Armijo]                  423       43.202148       0.000000         0         83.546875       141.033203       141.033203       0.239997   
cgd-dyhs[init-consistent][interp]                     435       86.645508       0.000000         0         6.789062        145.064453       145.064453       0.063898   
cgd-ls[init-quadratic][backtrack-Armijo]              472       55.798828       0.000000         0         92.581055       157.569336       157.569336       0.431731   
cgd-prp[init-quadratic][backtrack-Armijo]             473       54.521484       0.000000         0         89.584961       157.754883       157.754883       0.402487   
cgd-dyhs[init-quadratic][backtrack-Wolfe]             496       44.608398       0.000000         0         56.872070       165.402344       165.402344       0.269168   
cgd-n[init-quadratic][backtrack-Armijo]               501       57.930664       0.000000         0         100.032227      167.216797       167.216797       0.384909   
cgd-prp[init-quadratic][backtrack-Wolfe]              560       44.271484       0.000000         0         57.037109       186.986328       186.986328       0.310858   
cgd-prp[init-unit][backtrack-Armijo]                  571       42.835938       0.000000         0         52.324219       190.646484       190.646484       0.240553   
cgd-ls[init-quadratic][backtrack-Wolfe]               580       44.931641       0.000000         0         58.911133       193.551758       193.551758       0.318710   
